cpd_id,is_Rgroup,gnn,dgp_original,dgp_retrained,eq_structurebased,eq_detail
cpd24216,False,1,0,1,0,found_notEst
cpd24217,False,1,0,1,0,found_notEst
cpd24218,False,1,0,1,0,found_notEst
cpd24219,False,1,0,1,1,covered
cpd24220,False,1,0,1,1,covered
cpd24221,False,1,0,1,1,covered
cpd24222,False,1,0,1,1,covered
cpd24223,False,1,0,1,1,covered
cpd24224,False,1,1,1,1,covered
cpd24225,False,1,1,1,1,covered
cpd24226,False,1,1,1,1,covered
cpd24227,False,1,1,1,1,covered
cpd24228,False,1,1,1,1,covered
cpd24229,False,1,1,1,1,covered
cpd24230,False,1,1,1,1,covered
cpd24231,False,1,1,1,1,covered
cpd24232,False,1,1,1,1,covered
cpd24233,False,1,1,1,1,covered
cpd24234,False,1,1,1,1,covered
cpd24235,False,1,1,1,1,covered
cpd24236,False,1,1,1,1,covered
cpd24237,False,1,1,1,1,covered
cpd24238,False,1,1,1,1,covered
cpd24239,False,1,0,1,1,covered
cpd24240,False,1,0,1,1,covered
cpd24241,False,1,0,1,1,covered
cpd24242,False,1,1,1,1,covered
cpd24243,False,1,1,1,1,covered
cpd24244,False,1,1,1,1,covered
cpd24245,False,1,0,1,1,covered
cpd24246,False,1,0,1,1,covered
cpd24247,False,1,1,1,1,covered
cpd24248,False,1,1,1,1,covered
cpd24249,False,1,1,1,1,covered
cpd24250,False,1,1,1,1,covered
cpd24251,False,1,0,1,1,covered
cpd24252,False,1,0,1,1,covered
cpd24253,False,1,0,1,1,covered
cpd24254,False,1,0,1,1,covered
cpd24255,False,1,0,1,1,covered
cpd24256,False,1,0,0,1,covered
cpd24257,False,1,0,0,1,covered
cpd24258,False,1,1,1,1,covered
cpd24259,False,1,1,1,1,covered
cpd24260,False,1,1,1,1,covered
cpd24261,False,1,1,1,1,covered
cpd24262,False,1,1,1,1,covered
cpd24263,False,1,0,1,1,covered
cpd24264,False,1,0,1,1,covered
cpd24265,False,1,0,1,1,covered
cpd24266,False,1,0,1,1,covered
cpd24267,False,1,0,1,1,covered
cpd24268,False,1,0,1,1,covered
cpd24269,False,1,0,1,1,covered
cpd24270,False,1,0,1,1,covered
cpd24271,False,1,0,1,1,covered
cpd24272,False,1,0,1,1,covered
cpd24273,False,1,0,1,1,covered
cpd24274,False,1,0,0,1,covered
cpd24275,False,1,0,1,1,covered
cpd24276,False,1,0,1,1,covered
cpd24277,False,1,0,1,1,covered
cpd24278,False,1,0,1,1,covered
cpd24279,False,1,0,1,1,covered
cpd24280,False,1,0,1,1,covered
cpd24281,False,1,0,1,0,found_notEst
cpd24282,False,1,1,1,1,covered
cpd24283,False,1,0,1,0,found_notEst
cpd24284,False,1,0,1,1,covered
cpd24285,False,1,0,1,1,covered
cpd24286,False,1,0,1,1,covered
cpd24287,False,1,0,1,1,covered
cpd24288,False,1,0,1,0,found_notEst
cpd24289,False,1,0,1,0,found_notEst
cpd24291,False,1,0,1,1,covered
cpd24292,False,1,0,1,1,covered
cpd24293,False,1,0,1,1,covered
cpd24294,False,1,0,1,1,covered
cpd24295,False,1,0,1,1,covered
cpd24296,False,1,0,1,0,notfound
cpd24297,False,1,0,1,0,notfound
cpd24298,False,1,0,1,1,covered
cpd24299,False,1,0,1,1,covered
cpd24300,False,1,0,1,1,covered
cpd24301,False,1,0,1,1,covered
cpd24302,False,1,0,1,1,covered
cpd24303,False,1,0,1,1,covered
cpd24304,False,1,0,1,1,covered
cpd24305,False,1,0,1,1,covered
cpd24306,False,1,0,1,1,covered
cpd24307,False,1,0,1,0,found_notEst
cpd24308,False,1,0,1,1,covered
cpd24309,False,1,0,1,1,covered
cpd24310,False,1,0,1,0,found_notEst
cpd24311,False,1,0,1,1,covered
cpd24312,False,1,0,1,0,found_notEst
cpd24313,True,1,0,0,,
cpd24314,True,1,0,0,,
cpd24315,True,1,0,0,,
cpd24316,False,1,0,0,0,notfound
cpd24317,False,1,0,0,0,notfound
cpd24318,False,1,0,1,1,covered
cpd24319,False,1,0,1,1,covered
cpd24320,False,1,0,1,0,notfound
cpd24321,False,1,0,1,0,found_notEst
cpd24322,False,1,0,1,1,covered
cpd24323,False,1,0,1,1,covered
cpd24324,False,1,0,1,1,covered
cpd24325,False,1,0,1,1,covered
cpd24326,False,1,0,1,1,covered
cpd24327,False,1,0,1,0,found_notEst
cpd24329,False,1,0,1,0,found_notEst
cpd24330,False,1,0,1,1,covered
cpd24331,False,1,0,1,1,covered
cpd24332,False,1,0,1,1,covered
cpd24333,False,1,0,1,0,found_notEst
cpd24334,False,1,0,0,0,found_notEst
cpd24335,False,1,0,0,1,covered
cpd24336,False,1,0,1,1,covered
cpd24337,False,1,0,1,1,covered
cpd24338,False,1,1,1,1,covered
cpd24339,False,1,0,1,0,found_notEst
cpd24340,False,1,0,1,0,found_notEst
cpd24341,False,1,1,1,0,found_notEst
cpd24342,False,1,1,1,0,notfound
cpd24343,False,1,0,1,0,notfound
cpd24344,False,1,1,1,0,found_notEst
cpd24345,False,1,0,1,0,found_notEst
cpd24346,False,1,0,1,0,found_notEst
cpd24347,False,1,0,1,0,found_notEst
cpd24348,True,1,0,0,,
cpd24349,True,1,0,0,,
cpd24350,False,1,0,1,1,covered
cpd24351,False,1,0,1,0,found_notEst
cpd24352,True,1,0,0,,
cpd24353,False,1,0,1,0,found_notEst
cpd24354,True,1,0,0,,
cpd24355,False,1,0,1,0,found_notEst
cpd24356,False,1,1,1,1,covered
cpd24357,False,1,1,1,1,covered
cpd24358,False,1,1,1,1,covered
cpd24359,False,1,0,1,0,notfound
cpd24360,True,1,0,0,,
cpd24361,False,1,0,1,1,covered
cpd24362,True,1,0,0,,
cpd24363,False,1,0,1,0,found_notEst
cpd24364,False,1,0,1,0,found_notEst
cpd24365,False,1,0,1,0,notfound
cpd24366,False,1,1,1,0,found_notEst
cpd24367,False,1,1,1,0,found_notEst
cpd24368,False,1,1,1,0,found_notEst
cpd24369,False,1,1,1,0,found_notEst
cpd24370,False,1,1,1,0,found_notEst
cpd24371,False,1,1,1,0,found_notEst
cpd24372,False,1,0,1,1,covered
cpd24373,False,1,0,1,1,covered
cpd24374,False,1,0,1,1,covered
cpd24375,False,1,0,1,1,covered
cpd24376,False,1,0,0,0,found_notEst
cpd24377,False,1,0,1,1,covered
cpd24378,False,1,0,1,1,covered
cpd24379,False,1,0,1,0,notfound
cpd24380,False,1,1,1,1,covered
cpd24381,False,1,1,1,1,covered
cpd24382,False,1,0,1,1,covered
cpd24383,False,1,0,1,0,found_notEst
cpd24384,True,1,0,0,,
cpd24385,False,1,0,1,1,covered
cpd24386,False,1,0,1,0,found_notEst
cpd24387,False,1,0,1,1,covered
cpd24388,False,1,0,1,0,notfound
cpd24389,False,1,0,1,1,covered
cpd24390,False,1,0,1,1,covered
cpd24391,False,1,0,1,1,covered
cpd24392,False,1,0,1,1,covered
cpd24393,False,1,0,1,1,covered
cpd24394,False,1,1,1,1,covered
cpd24395,False,1,0,1,1,covered
cpd24396,False,1,0,1,1,covered
cpd24397,False,1,0,1,0,found_notEst
cpd24398,False,1,0,1,1,covered
cpd24399,False,1,0,1,1,covered
cpd24400,False,1,0,1,1,covered
cpd24401,False,1,0,1,1,covered
cpd24402,False,1,0,1,1,covered
cpd24403,False,1,0,0,1,covered
cpd24404,False,1,0,1,1,covered
cpd24405,False,1,1,1,1,covered
cpd24406,False,1,0,1,1,covered
cpd24407,False,1,1,1,1,covered
cpd24408,False,1,0,1,0,found_notEst
cpd24409,False,1,0,1,0,found_notEst
cpd24411,False,1,0,1,1,covered
cpd24412,False,1,0,1,1,covered
cpd24413,False,1,0,1,1,covered
cpd24414,False,1,0,1,1,covered
cpd24415,False,1,0,1,1,covered
cpd24416,False,1,0,1,1,covered
cpd24417,False,1,1,1,1,covered
cpd24418,False,1,1,1,1,covered
cpd24419,False,1,1,1,1,covered
cpd24420,False,1,0,1,1,covered
cpd24421,False,1,0,1,1,covered
cpd24422,False,1,0,1,1,covered
cpd24423,False,1,0,1,1,covered
cpd24424,False,1,0,1,1,covered
cpd24425,False,1,0,1,1,covered
cpd24426,False,1,0,1,0,found_notEst
cpd24427,False,1,0,1,1,covered
cpd24428,False,1,1,1,1,covered
cpd24429,False,1,1,1,1,covered
cpd24430,False,1,1,1,1,covered
cpd24431,False,1,0,1,1,covered
cpd24432,False,1,1,1,1,covered
cpd24433,False,1,1,1,1,covered
cpd24434,False,1,0,1,0,found_notEst
cpd24435,False,1,0,1,0,found_notEst
cpd24436,False,1,1,1,1,covered
cpd24437,False,1,1,1,0,found_notEst
cpd24438,False,1,0,1,0,found_notEst
cpd24439,False,1,0,1,1,covered
cpd24440,False,1,0,1,0,found_notEst
cpd24441,False,1,1,1,1,covered
