cpd,name,our_charge,du_pH7_charge,agree
cpd00154,Xylose,0,0,1
cpd00157,Glycerone,0,0,1
cpd00158,CELB,0,0,1
cpd00159,L-Lactate,-1,-1,1
cpd00161,L-Threonine,0,0,1
cpd00162,Aminoethanol,1,1,1
cpd00163,UDP-xylose,-2,-2,1
cpd00164,Glucuronate,-1,-1,1
cpd00169,3-Phosphoglycerate,-3,-3,1
cpd00170,Gluconolactone,0,0,1
cpd00171,D-Ribulose5-phosphate,-2,-2,1
cpd00175,UDP-N-acetyl-D-galactosamine,-2,-2,1
cpd00176,2-keto-3-deoxygluconate,-1,-1,1
cpd00177,dADP,-2,-2,1
cpd00178,Acetone,0,0,1
cpd00179,Maltose,0,0,1
cpd00182,Adenosine,0,0,1
cpd00185,D-Arabinose,0,0,1
cpd00186,D-Glutamate,-1,-1,1
cpd00188,Arachidonate,-1,-1,1
cpd00191,3-Oxopropanoate,-1,-1,1
cpd00193,APS,-2,-2,1
cpd00196,Acetylphosphate,-2,-2,1
cpd00198,D-Xylulose5-phosphate,-2,-2,1
cpd00199,4-Oxobutanoate,-1,-1,1
cpd00200,4MOP,-1,-1,1
cpd00201,10-Formyltetrahydrofolate,-2,-2,1
cpd00202,DMAPP,-2,-2,1
cpd00203,"1,3-Bisphospho-D-glycerate",-4,-4,1
cpd00206,dCMP,-2,-2,1
cpd00207,Guanine,0,0,1
cpd00208,LACT,0,0,1
cpd00212,L-Sorbose,0,0,1
cpd00213,Lipoamide,0,0,1
cpd00214,Palmitate,-1,-1,1
cpd00215,Pyridoxal,0,0,1
cpd00216,Chorismate,-2,-2,1
cpd00217,Brachiose,0,0,1
cpd00218,Niacin,-1,-1,1
cpd00221,D-Lactate,-1,-1,1
cpd00222,GLCN,-1,-1,1
cpd00223,Glycerate,-1,-1,1
cpd00224,L-Arabinose,0,0,1
cpd00225,Benzaldehyde,0,0,1
cpd00226,HYXN,0,0,1
cpd00227,L-Homoserine,0,0,1
cpd00229,Glycolaldehyde,0,0,1
cpd00232,Neu5Ac,-1,-1,1
cpd00235,D-mannose-6-phosphate,-2,-2,1
cpd00236,D-Erythrose4-phosphate,-2,-2,1
cpd00237,Androstenedione,0,0,1
cpd00242,H2CO3,-1,-1,1
cpd00246,Inosine,0,0,1
cpd00248,Quinate,-1,-1,1
cpd00249,Uridine,0,0,1
cpd00250,Creatine,0,0,1
cpd00256,CDPcholine,-1,-1,1
cpd00258,D-Ribulose,0,0,1
cpd00259,D-Lyxulose,0,0,1
cpd00260,Isocitrate,-3,-3,1
cpd00261,L-Lyxulose,0,0,1
cpd00262,Oxalyl-CoA,-5,-5,1
cpd00263,Pyridoxol,0,0,1
cpd00266,Carnitine,0,0,1
cpd00269,2-Oxoadipate,-2,-2,1
cpd00274,Citrulline,0,0,1
cpd00278,Indolepyruvate,-1,-1,1
cpd00279,Acetoacetyl-CoA,-4,-4,1
cpd00280,D-Galacturonate,-1,-1,1
cpd00281,GABA,0,0,1
cpd00282,S-Dihydroorotate,-1,-1,1
cpd00285,Phosphoethanolamine,-1,-1,1
cpd00287,3-Oxo-2-methylpropanoate,-1,-1,1
cpd00288,D-Glucosamine phosphate,-1,-1,1
cpd00293,N-Acetyl-D-glucosamine 6-phosphate,-2,-2,1
cpd00294,dAMP,-2,-2,1
cpd00295,dGDP,-2,-2,1
cpd00297,dTDP,-2,-2,1
cpd00298,dTMP,-2,-2,1
cpd00304,Retinal,0,0,1
cpd00306,Xylitol,0,0,1
cpd00311,Guanosine,0,0,1
cpd00314,D-Mannitol,0,0,1
cpd00315,GDP-glucose,-2,-2,1
cpd00323,L-Pipecolate,0,0,1
cpd00329,Cyclohexanone,0,0,1
cpd00330,Dihydrofolate,-2,-2,1
cpd00331,cis-Aconitate,-3,-3,1
cpd00333,(E)-Cinnamate,-1,-1,1
cpd00334,L-Lactaldehyde,0,0,1
cpd00337,Hydrouracil,0,0,1
cpd00342,N-Acetylornithine,0,0,1
cpd00343,N-Carbamoyl-L-aspartate,-2,-2,1
cpd00345,5-Methyltetrahydrofolate,-2,-2,1
cpd00346,L-Aspartate4-semialdehyde,0,0,1
cpd00347,5-10-Methenyltetrahydrofolate,-1,-1,1
cpd00351,Saccharopine,-1,-1,1
cpd00355,Nicotinamide ribonucleotide,-1,-1,1
cpd00357,TTP,-3,-3,1
cpd00359,indol,0,0,1
cpd00362,Estrone,0,0,1
cpd00363,Ethanol,0,0,1
cpd00365,Retinol,0,0,1
cpd00366,Ribitol,0,0,1
cpd00367,Cytidine,0,0,1
cpd00368,D-Lyxose,0,0,1
cpd00373,Sinapate,-1,-1,1
cpd00382,Melitose,0,0,1
cpd00383,Shikimate,-1,-1,1
cpd00386,D-Malate,-2,-2,1
cpd00387,ADPglucose,-2,-2,1
cpd00388,Allantoate,-1,-1,1
cpd00390,CDP-glucose,-2,-2,1
cpd00396,L-Rhamnose,0,0,1
cpd00397,L-Ribulose,0,0,1
cpd00404,D-Ornithine,1,1,1
cpd00408,Pantoate,-1,-1,1
cpd00419,PM,1,1,1
cpd00420,Testosterone,0,0,1
cpd00428,2-Oxopropanal,0,0,1
cpd00432,meso-Tartrate,-2,-2,1
cpd00435,Phenylcarbinol,0,0,1
cpd00437,D-Tagaturonate,-1,-1,1
cpd00444,CDPethanolamine,-1,-1,1
cpd00446,cAMP,-1,-1,1
cpd00448,D-Glyceraldehyde,0,0,1
cpd00449,Dihydrolipoamide,0,0,1
cpd00451,Glycocyamine,0,0,1
cpd00453,"1,2-Propanediol",0,0,1
cpd00457,Phosphocholine,-1,-1,1
cpd00458,Coniferol,0,0,1
cpd00465,Ureidoglycolate,-1,-1,1
cpd00472,UDPgalacturonate,-3,-3,1
cpd00475,Ribose 1-phosphate,-2,-2,1
cpd00477,N-Acetyl-L-glutamate,-2,-2,1
cpd00480,2-Dehydro-D-gluconate,-1,-1,1
cpd00485,D-Mannose1-phosphate,-2,-2,1
cpd00491,D-glucitol 6-phosphate,-2,-2,1
cpd00492,N-Acetyl-D-mannosamine,0,0,1
cpd00504,"LL-2,6-Diaminopimelate",0,0,1
cpd00509,deoxyribose-1-phosphate,-2,-2,1
cpd00510,deoxyribose-5-phosphate,-2,-2,1
cpd00516,"meso-2,6-Diaminopimelate",0,0,1
cpd00519,D-methylmalonyl-CoA,-5,-5,1
cpd00520,2-Dehydro-3-deoxy-D-pentonate,-1,-1,1
cpd00521,dTDP-4-oxo-6-deoxy-D-glucose,-2,-2,1
