du_compound_id,name,smiles,inchikey,inchikey_block,has_dG_f,has_dH_f,has_dS_f,matched_cpd,in_abinitio_set
CHS_17292,,CC1CCCC(C)(C)C1,PYOLJOJPIPCRDP-UHFFFAOYSA-N,PYOLJOJPIPCRDP,0,0,1,,0
CHS_17976,,CC(C)CCC(C)(C)C,HHOSMYBYIHNXNO-UHFFFAOYSA-N,HHOSMYBYIHNXNO,0,0,1,,0
CHS_18338,,C=CCCCCC=C,XWJBRBSPAODJER-UHFFFAOYSA-N,XWJBRBSPAODJER,0,0,1,,0
CHS_18607,,CCCSC,ZOASGOXWEHUTKZ-UHFFFAOYSA-N,ZOASGOXWEHUTKZ,0,0,1,,0
CHS_18688,,CCOC(=O)C(C)(C)C,HHEIMYAXCOIQCJ-UHFFFAOYSA-N,HHEIMYAXCOIQCJ,0,0,1,,0
CHS_193321,,CCCCCC(C)CO,QZESEQBMSFFHRY-UHFFFAOYSA-N,QZESEQBMSFFHRY,0,0,1,,0
CHS_202727,,CCOCCCCOCC,IIHAWQOFHTYWGM-UHFFFAOYSA-N,IIHAWQOFHTYWGM,0,0,1,,0
CHS_20844,,CCCCCCC(C)CC,PLZDDPSCZHRBOY-UHFFFAOYSA-N,PLZDDPSCZHRBOY,0,0,1,,0
CHS_21740,,CCC(C)OC,FVNIMHIOIXPIQT-UHFFFAOYSA-N,FVNIMHIOIXPIQT,0,0,1,,0
CHS_21896,,CCCCCCCCC(C)C,CNPVJWYWYZMPDS-UHFFFAOYSA-N,CNPVJWYWYZMPDS,0,0,1,,0
CHS_21934,,CCCCCCCCCC(C)C,GTJOHISYCKPIMT-UHFFFAOYSA-N,GTJOHISYCKPIMT,0,0,1,,0
CHS_2284191,,CCCCCCCC(C)CO,BEGNRPGEHZBNKK-UHFFFAOYSA-N,BEGNRPGEHZBNKK,0,0,1,,0
CHS_23408,,CCCCCCCCCCC(C)O,XSWSEQPWKOWORN-UHFFFAOYSA-N,XSWSEQPWKOWORN,0,0,1,,0
CHS_23484,,CCCCCCCC(C)(C)O,VREDNSVJXRJXRI-UHFFFAOYSA-N,VREDNSVJXRJXRI,0,0,1,,0
CHS_26477,,CCCCCCCCC(C)(C)C,WBWYXWILSHQILH-UHFFFAOYSA-N,WBWYXWILSHQILH,0,0,1,,0
CHS_28986,,CCCC(=O)CCC,HCFAJYNVAYBARA-UHFFFAOYSA-N,HCFAJYNVAYBARA,0,0,1,cpd41616,0
CHS_388344,D-xylulose,OCC1(O)OC[C@@H](O)[C@@H]1O,LQXVFWRQNMEDEE-OVEKKEMJSA-N,LQXVFWRQNMEDEE,1,1,1,cpd05268,0
CHS_39930,,CCCCC(C)CO,LCFKURIJYIJNRU-UHFFFAOYSA-N,LCFKURIJYIJNRU,0,0,1,,0
CHS_452528,,COCCCCOC,HMCUNLUHTBHKTB-UHFFFAOYSA-N,HMCUNLUHTBHKTB,0,0,1,,0
CHS_55084,,CCCCOC(=O)CCCC,OKJADYKTJJGKDX-UHFFFAOYSA-N,OKJADYKTJJGKDX,0,0,1,,0
CHS_55123,,CCCCCCOC=O,OUGPMNMLWKSBRI-UHFFFAOYSA-N,OUGPMNMLWKSBRI,0,0,1,,0
CHS_55130,,CCCC(=O)OC(C)C,FFOPEPMHKILNIT-UHFFFAOYSA-N,FFOPEPMHKILNIT,0,0,1,,0
CHS_55188,,CCC(C)(C)OC,HVZJRWJGKQPSFL-UHFFFAOYSA-N,HVZJRWJGKQPSFL,0,0,1,,0
CHS_59719,,CCCCCCCCCC(C)CO,FGZXHVORLPLICA-UHFFFAOYSA-N,FGZXHVORLPLICA,0,0,1,,0
CHS_6163,,CCC(C)(C)C,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,HNRMPXKDFBEGFZ,0,0,1,,0
CHS_6164,,CC(C)(C)CO,KPSSIOMAKSHJJG-UHFFFAOYSA-N,KPSSIOMAKSHJJG,0,0,1,,0
CHS_6165,,CCC(C)(C)O,MSXVEPNJUHWQHW-UHFFFAOYSA-N,MSXVEPNJUHWQHW,0,0,1,cpd34262,0
CHS_6176,,CC(=O)C(C)(C)C,PJGSXYOJTGTZAV-UHFFFAOYSA-N,PJGSXYOJTGTZAV,0,0,1,,0
CHS_62249,,COC(=O)C(C)(C)C,CNMFHDIDIMZHKY-UHFFFAOYSA-N,CNMFHDIDIMZHKY,0,0,1,,0
CHS_6248,,CCC(C)(O)CC,FRDAATYAJDYRNW-UHFFFAOYSA-N,FRDAATYAJDYRNW,0,0,1,,0
CHS_62597,,OCCC=C,ZSPTYLOMNJNZNG-UHFFFAOYSA-N,ZSPTYLOMNJNZNG,0,0,1,,0
CHS_62614,,CCCCCCC(C)(C)O,KBCNUEXDHWDIFX-UHFFFAOYSA-N,KBCNUEXDHWDIFX,0,0,1,,0
CHS_62620,,CCCCCOC,DBUJFULDVAZULB-UHFFFAOYSA-N,DBUJFULDVAZULB,0,0,1,,0
CHS_6340,,CC(C)C(C)C,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,ZFFMLCVRJBZUDZ,0,0,1,,0
CHS_7010,,CCC(C)CC,PFEOZHBOMNWTJB-UHFFFAOYSA-N,PFEOZHBOMNWTJB,0,0,1,,0
CHS_7016,,CCC(=O)CC,FDPIMTJIUBPUKL-UHFFFAOYSA-N,FDPIMTJIUBPUKL,0,0,1,cpd23783,0
CHS_7065,,CCOC(=O)C(C)C,WDAXFOBOLVPGLV-UHFFFAOYSA-N,WDAXFOBOLVPGLV,0,0,1,,0
CHS_7073,,CC(C)COC(=O)C(C)C,RXGUIWHIADMCFC-UHFFFAOYSA-N,RXGUIWHIADMCFC,0,0,1,,0
CHS_7080,,CCC(CC)CO,TZYRSLHNPKPEFV-UHFFFAOYSA-N,TZYRSLHNPKPEFV,0,0,1,,0
CHS_70849,,CCCCCCOC,ICBJCVRQDSQPGI-UHFFFAOYSA-N,ICBJCVRQDSQPGI,0,0,1,,0
CHS_7088,,CC(C)(C)c1ccccc1,YTZKOQUCBOVLHL-UHFFFAOYSA-N,YTZKOQUCBOVLHL,0,0,1,,0
CHS_7226,,OCC1CCCCC1,VSSAZBXXNIABDN-UHFFFAOYSA-N,VSSAZBXXNIABDN,0,0,1,,0
CHS_7320,,CCc1cc(CC)cc(CC)c1,WJYMPXJVHNDZHD-UHFFFAOYSA-N,WJYMPXJVHNDZHD,0,0,1,,0
CHS_7430,,CCCCCCCCCCc1ccccc1,UZILCZKGXMQEQR-UHFFFAOYSA-N,UZILCZKGXMQEQR,0,0,1,,0
CHS_7459,,CCCC(C)CO,PFNHSEQQEPMLNI-UHFFFAOYSA-N,PFNHSEQQEPMLNI,0,0,1,,0
CHS_7463,,CCOC(=O)CC,FKRCODPIKNYEAC-UHFFFAOYSA-N,FKRCODPIKNYEAC,0,0,1,cpd32528,0
CHS_7472,,CCC(C)OC(C)=O,DCKVNWZUADLDEH-UHFFFAOYSA-N,DCKVNWZUADLDEH,0,0,1,,0
CHS_7475,,CCCC(=O)OCC,OBNCKNCVKJNDBV-UHFFFAOYSA-N,OBNCKNCVKJNDBV,0,0,1,cpd41613,0
CHS_7482,,CCCOC(=O)CCC,HUAZGNHGCJGYNP-UHFFFAOYSA-N,HUAZGNHGCJGYNP,0,0,1,cpd41619,0
CHS_7515,,CCCOC(=O)CC,MCSINKKTEDDPNK-UHFFFAOYSA-N,MCSINKKTEDDPNK,0,0,1,cpd41621,0
CHS_75217,,CCCCOCCOC,XDFQEFFBRPGSMC-UHFFFAOYSA-N,XDFQEFFBRPGSMC,0,0,1,,0
CHS_7538,,CCCCCCC(=O)OC,XNCNNDVCAUWAIT-UHFFFAOYSA-N,XNCNNDVCAUWAIT,0,0,1,,0
CHS_7619,,CC(C)CC(C)C,BZHMBWZPUJHVEE-UHFFFAOYSA-N,BZHMBWZPUJHVEE,0,0,1,,0
CHS_7622,,CC(C)CC(C)O,WVYWICLMDOOCFB-UHFFFAOYSA-N,WVYWICLMDOOCFB,0,0,1,,0
CHS_7626,,CC(C)OC(C)C,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,ZAFNJMIOTHYJRJ,0,0,1,,0
